"country","region","year","sex","age_group","percent_of_cvd_deaths","trans_fat_pct_kcal_day","sodium_g_per_day","fiber_g_per_day","fruit_g_per_day","legumes_g_per_day","mean_prev_overweight","mean_change_overweight","mean_prev_obese","mean_change_obese","smoking_or_tobacco_use","gdp_billions"
"Norway","Nordic",2011,"Female","75-79 years",28.5454882466506,0.494530148318659,2.23339873829113,14.4976262689948,195.242321741382,10.9201274203696,0.361083011427545,0.121931907094993,0.180778136069872,0.714864820854771,NA,448.74696875
"Norway","Nordic",2011,"Male","80-84 years",35.0686330170669,0.521477257601578,3.18769282444007,13.2728399579519,192.241755682408,8.55471109763361,0.362186953450049,0.0562612366608122,0.0994027181396927,0.517067759363615,NA,448.74696875
"Norway","Nordic",2011,"Female","80-84 years",36.1669815722609,0.521793766480535,2.25127505374507,13.1868109113442,184.588009911803,9.84816345008605,0.358913352080697,0.0353848531416364,0.11680273748373,0.719748942932224,NA,448.74696875
"Slovenia","Central Europe",2019,"Male","25-29 years",3.85308084678326,0,5.91521566818466,14.4026283482523,150.118571525376,9.33205127420896,0.299146884353675,0.171296728536859,0.182477420605246,0.786418643691239,NA,70.868515625
"Slovenia","Central Europe",2019,"Female","25-29 years",4.35280348823357,0,3.99923354534047,14.2061693579423,146.424501602323,10.7729028460574,0.153460464559004,0.246554891224537,0.161847409154593,1.63847144489923,NA,70.868515625
"Slovenia","Central Europe",2019,"Male","30-34 years",6.02950025398495,0,5.40944276337631,14.582097860206,154.830890024367,9.5602349886258,0.343837883995934,0.111505604337808,0.221448819387996,0.754746491843015,NA,70.868515625
"Slovenia","Central Europe",2019,"Female","30-34 years",5.58995111062792,0,3.89338063994937,14.5283159382333,151.159714942459,11.0497588540511,0.170995365812302,0.180520412639959,0.232610509090713,1.1753341976682,NA,70.868515625
"Slovenia","Central Europe",2019,"Male","35-39 years",10.6350211070025,0,5.59783335083404,14.8150619483545,162.825990568011,9.85183355385158,0.346750059977676,0.0066069734155016,0.304460273387538,0.627772780623161,NA,70.868515625
"Slovenia","Central Europe",2019,"Female","35-39 years",5.74292794323012,0,3.90704068331968,14.7395339687449,156.235640539322,11.2898291388154,0.219297722733865,0.0728958498543403,0.317596129387609,1.06886518729967,NA,70.868515625
"Slovenia","Central Europe",2019,"Male","40-44 years",15.5413824267515,0,5.93236811474029,15.3035184879504,170.638281999033,9.99989063699257,0.372224206030907,0.0015108010981651,0.320404599269506,0.564376336409339,NA,70.868515625
"Slovenia","Central Europe",2019,"Female","40-44 years",7.35740818205812,0,4.18944811298141,15.2584039621095,166.450956126993,11.5066256132351,0.186172097337787,0.0350179801861206,0.34566072075563,0.981254534071017,NA,70.868515625
"Slovenia","Central Europe",2019,"Male","45-49 years",18.7624184786935,0,6.34029230399497,16.0833853894791,183.884351628241,10.0641568352423,0.433104837380092,-0.0241109596277588,0.315592123361777,0.561591366796734,NA,70.868515625
"Slovenia","Central Europe",2019,"Female","45-49 years",8.05721506993484,0,4.41631999003757,15.9782403223585,180.297928910087,11.5800585044184,0.23897291107854,-0.0131577791300997,0.392309161218246,0.853675254320633,NA,70.868515625
"Slovenia","Central Europe",2019,"Male","50-54 years",18.9759414938485,0,5.86393566373251,16.8971374686592,202.342885625362,10.1855836330947,0.389381449068163,-0.0398372959273496,0.377927976904367,0.506677887280337,NA,70.868515625
